track_name,artists_name,artist_count,released_year,released_month,released_day,in_spotify_charts,streams,danceability_%
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,32,66902503,78
"Queencard","(G)I-DLE",1,2023,5,15,33,96273746,82
"OMG","NewJeans",1,2023,1,2,27,430977451,80
"Radio","Lana Del Rey",1,2011,1,1,46,284819874,42
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,44,721975598,78
"505","Arctic Monkeys",1,2007,4,20,25,1217120710,52
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,16,109276132,63
"Trance (with Travis Scott & Young Thug)","Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,46,276259178,75
"Tere Vaaste (From 'Zara Hatke Zara Bachke')","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,8,54225632,76
"Perfect","Ed Sheeran",1,2017,1,1,13,2559529074,60
"Romantic Homicide","d4vd",1,2022,7,20,23,681583126,56
"Believer","Imagine Dragons",1,2017,1,31,23,2594040133,77
"Novo BalanÔøΩ","Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,7,81102253,84
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,8,11956641,93
"Without Me","Eminem",1,2002,1,1,43,1687664027,92
"QUEMA","Sog, Ryan Castro, Peso Pluma",3,2023,7,13,31,11599388,79
"Stargirl Interlude","The Weeknd, Lana Del Rey",2,2016,11,24,32,611700552,59
"Ojitos Lindos","Bomba Estereo, Bad B",2,2022,5,6,38,1133865788,65
"Somewhere Only We Know","Keane",1,2004,1,1,16,1089402494,45
"Those Eyes","New West",1,2019,5,10,14,411747614,60
"El Gordo Trae El Mando","Chino Pacas",1,2023,1,27,21,255932395,74
"Mi Bello Angel","Natanael Cano",1,2023,6,30,8,31873544,81
"Bye","Peso Pluma",1,2023,5,26,14,95053634,78
"Danza Kuduro","Don Omar, Lucenzo",2,2010,1,1,37,1279434863,47
"Nosso Quadro","Ana Castela, AgroPlay",2,2023,2,2,9,233801632,69
"Locked Out Of Heaven","Bruno Mars",1,2012,12,5,9,1481349984,73
"Un Finde | CROSSOVER #2","Big One, FMK, Ke personajes",3,2023,4,4,14,142095275,50
"Jimmy Cooks (feat. 21 Savage)","Drake, 21 Savage",2,2022,6,17,27,618885532,54
"Counting Stars","OneRepublic",1,2013,1,1,43,2011464183,66
"Ghost","Justin Bieber",1,2021,3,19,24,1167330737,61
"Under The Influence","Chris Brown",1,2019,10,4,26,929964809,73
"PRC","Natanael Cano, Peso Pluma",2,2023,1,23,26,436027885,78
"Gasolina","Daddy Yankee",1,2004,7,13,18,657723613,86
"One Dance","Drake, WizKid, Kyla",3,2016,4,4,24,2713922350,77
"Enchanted","Taylor Swift",1,2010,1,1,16,621660989,45
"Save Your Tears","The Weeknd",1,2020,3,20,13,1591223784,68
"Sure Thing","Miguel",1,2010,5,25,19,950906471,68
"Every Breath You Take - Remastered 2003","The Police",1,1983,1,6,19,1593270737,82
"The Night We Met","Lord Huron",1,2015,2,2,35,1410088830,45
"We Found Love","Rihanna, Calvin Harris",2,2011,1,1,21,1235005533,73
"When I Was Your Man","Bruno Mars",1,2012,12,5,11,1661187319,60
"Let Me Down Slowly","Alec Benjamin",1,2018,5,25,19,1374581173,65
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,16,94186466,60
"Do I Wanna Know?","Arctic Monkeys",1,2013,1,1,26,1788326445,55
"Demons","Imagine Dragons",1,2012,1,1,13,1840364617,33
"Idol","YOASOBI",1,2023,4,12,16,143573775,57
"Reminder","The Weeknd",1,2016,11,25,17,684675814,71
"Shake It Off","Taylor Swift",1,2014,1,1,13,1113838873,65
"Why'd You Only Call Me When You're High?","Arctic Monkeys",1,2013,1,1,29,1267333350,70
"SNAP","Rosa Linn",1,2022,3,19,18,726307468,56
"Shape of You","Ed Sheeran",1,2017,1,6,10,3562543890,83
"Night Changes","One Direction",1,2014,11,17,18,1131090940,67
"Fin de Semana","Oscar Maydon, Junior H",2,2023,1,13,14,307370144,70
"Creep","Radiohead",1,1992,9,21,7,1271293243,53
"Car's Outside","James Arthur",1,2019,10,18,10,265882712,34
"Apocalypse","Cigarettes After Sex",1,2017,3,21,17,841749534,37
"Cheques","Shubh",1,2023,5,19,8,47956378,74
"Pink + White","Frank Ocean",1,2016,8,20,30,806397070,54
"Circles","Post Malone",1,2019,8,30,16,2132335812,70
"Just The Way You Are","Bruno Mars",1,2010,1,1,13,1641426668,63
"Take Me To Church","Hozier",1,2013,9,13,31,2135158446,57
"Bebe Dame","Fuerza Regida, Grupo Frontera",2,2022,12,16,22,367316268,54
"You Belong With Me (TaylorÔøΩÔøΩÔøΩs Ve","Taylor Swift",1,2021,4,9,12,350381515,63
"Titi Me PreguntÔø","Bad Bunny",1,2022,5,6,42,1264310836,65
"Better Than Revenge (Taylor's Version)","Taylor Swift",1,2023,7,7,11,30343206,50
"Shut up My Moms Calling","Hotel Ugly",1,2020,2,10,14,405136812,48
"Have You Ever Seen The Rain?","Creedence Clearwater Revival",1,1968,7,1,14,1145727611,74
"Es un Secreto","Plan B",1,2010,7,20,36,540654286,84
"POLARIS - Remix","Feid, Mora, Saiko, Quevedo",4,2023,6,8,33,57312735,62
"Ditto","NewJeans",1,2022,12,19,22,397582059,81
"Take On Me","a-ha",1,1984,10,19,17,1479115056,57
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,4,86773632,61
